Date,RM,SMB,HML,MOM,CG,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
1991-03-01,2.66,3.88,-1.3,2.71,1.2,10.31,8.6407,7.9126,6.6892,7.7665,7.687,5.2332,5.836,6.1972,6.0611,7.7138,2.8027,2.221,4.6938,6.0055,5.0691,4.0302,3.3706,3.6764,2.9516,4.5463,1.8986,0.3316,1.7511,1.1991
1991-04-01,-0.28,0.5,1.49,-2.32,-0.3,0.9448,1.1322,1.1807,0.6363,0.5057,-1.5741,0.891,0.7901,1.8309,1.8442,-2.7533,-0.6682,2.9513,2.4705,1.3928,-0.9926,0.5598,3.2814,1.6899,-0.503,0.0224,-0.0013,0.0539,1.6328,-0.1752
1991-05-01,3.66,-0.39,-0.52,-0.09,0.3,2.7906,3.7681,4.7025,3.3565,3.6783,5.4506,2.8178,5.8653,3.3293,3.3963,3.662,6.6735,4.8303,4.4189,0.2327,6.5656,3.093,5.8425,4.6354,5.1447,3.9851,5.3044,1.6741,4.2921,6.9352
1991-06-01,-4.94,0.18,1.08,0.42,0.0,-7.0325,-3.7166,-4.0787,-3.993,-3.7856,-5.2412,-4.9026,-3.0775,-2.896,-5.7986,-4.7483,-4.5536,-3.5446,-2.1288,-4.6015,-5.2851,-4.2499,-5.8854,-3.4027,-3.7764,-4.4108,-5.6538,-3.657,-5.1337,-3.9656
1991-07-01,4.24,-0.97,-1.3,4.26,0.5,2.8254,3.9835,2.3152,3.3888,2.4734,4.147,3.5989,2.9707,3.9178,2.0584,6.1781,4.0888,3.6808,2.6795,7.3737,5.973,3.7002,2.9366,4.2601,7.3379,6.2278,3.2834,4.8694,4.6764,0.8156
1991-08-01,2.32,1.58,-0.79,1.58,-0.2,3.7308,4.8966,3.373,0.8023,2.7947,3.9935,3.44,3.6917,3.2984,3.7402,5.5215,4.1826,2.5662,4.109,6.2111,1.5777,1.9912,3.253,2.6905,3.1127,4.3134,0.6985,2.6552,1.4422,1.7597
1991-09-01,-1.59,1.68,-1.23,1.75,0.0,4.429,2.5734,0.2002,0.2863,-1.5098,0.5632,0.817,1.9587,0.9642,-1.6265,0.1174,-0.4497,-0.767,0.7386,-3.7204,-0.3266,-1.7414,-0.8519,-0.0298,-1.2317,-2.2206,-1.0818,-0.9837,0.5243,-3.8306
1991-10-01,1.29,0.77,-0.43,3.18,-0.4,6.5752,4.1495,1.8624,3.8383,1.2713,2.3274,1.4029,3.4099,0.5585,1.3106,2.7666,1.0275,1.6324,2.9463,3.6073,2.5246,0.6612,1.2885,2.3167,2.8539,1.5326,0.9423,1.9451,3.2662,0.5042
1991-11-01,-4.2,-0.51,-1.77,1.18,0.5,-1.862,-3.2117,-4.1558,-3.2872,-2.5995,-4.7841,-6.533,-2.8905,-5.1594,-6.8733,-3.6135,-4.8361,-3.9739,-5.0869,-5.7616,-2.3044,-4.8734,-3.9613,-3.1107,-6.1249,-1.0874,-5.5812,-5.5566,-3.7402,-8.3335
1991-12-01,10.85,-2.26,-4.23,8.29,0.2,6.597,3.6013,5.3221,4.4472,4.6512,11.4488,6.893,5.4201,5.7123,7.9763,14.5303,10.7565,7.6348,10.0206,11.1812,13.1353,8.7769,10.5845,8.5771,10.5556,15.2806,9.319,8.3699,6.9295,12.8873
1992-01-01,-0.59,8.48,4.67,-2.5,1.5,14.6152,15.7778,8.4346,13.1233,16.4436,8.3609,4.6291,6.4057,7.563,9.6096,1.4375,4.8664,5.1179,5.4583,9.2936,-0.2445,2.0355,0.9462,0.6766,6.4133,-3.1649,-2.1749,-2.4602,0.0055,6.7472
1992-02-01,1.08,0.83,6.51,-0.7,0.1,-0.1673,4.8854,3.5013,5.1405,9.8197,0.201,2.424,1.6468,4.5002,6.5827,0.1846,2.6203,3.6045,2.9095,8.8406,-0.5662,2.9899,3.0985,2.1931,5.1887,0.219,-0.53,1.9293,4.2776,10.113
1992-03-01,-2.65,-0.97,3.49,-0.21,0.2,-6.5173,-5.6816,-2.5284,-0.0759,-1.0318,-7.8096,-2.5028,-1.6914,-0.5092,-1.0899,-5.0371,-2.2246,-0.4367,0.0646,-1.4159,-5.6904,-0.7501,-3.2421,-0.691,-2.0735,-2.9247,-1.6789,0.1304,-1.5142,0.7934
1992-04-01,1.09,-6.12,4.36,-2.55,0.1,-10.019,-3.8246,-4.9386,-4.6018,-2.7764,-6.5099,-3.4255,-2.5885,-2.5509,0.5295,-5.1689,-1.5338,-1.1468,0.5039,2.5582,-1.9988,0.9842,2.238,2.8668,4.0872,-0.154,5.3015,5.4825,3.2809,7.4908
1992-05-01,0.3,0.41,1.11,0.06,0.5,-1.4895,-0.2773,0.2121,-1.3393,1.6116,-0.185,0.2964,1.8657,0.7003,4.0301,-0.3736,-0.9256,1.8656,0.8393,2.5156,0.1799,1.3737,1.2849,0.653,-0.1736,1.2365,0.413,-0.0843,0.0866,-0.0015
1992-06-01,-2.33,-3.1,3.24,-0.57,0.3,-8.9872,-5.2859,-5.1876,-4.8404,-4.4549,-5.3545,-6.048,-2.5548,-3.3243,-0.8611,-4.6266,-3.9542,-2.5129,-1.3848,0.6266,-1.7715,-4.047,-1.9682,0.2738,-0.2195,-3.0457,0.0109,-2.2535,0.4128,0.7537
1992-07-01,3.78,-0.45,-0.51,1.47,0.3,0.7307,1.4122,1.5704,2.966,2.784,2.7434,4.4085,3.0897,4.2553,2.7801,4.6122,4.7099,3.9094,5.22,4.2807,5.2039,4.0047,3.7097,4.2296,2.057,4.9198,3.5172,4.0144,4.7464,-0.2819
1992-08-01,-2.38,-0.1,-1.09,-0.47,0.2,-4.5544,-3.1567,-0.8878,-1.7266,-3.4169,-3.9161,-3.3886,-0.797,-0.2073,-3.6401,-4.2061,-2.4857,-2.1342,-1.1573,-2.9319,-1.2634,-2.5954,-2.3159,-1.58,-4.4219,-0.5825,-3.0083,-1.2507,-3.175,-8.3802
1992-09-01,1.19,0.55,-0.19,1.44,0.7,0.2962,1.5372,1.83,2.2765,1.3107,1.5557,1.8221,4.2257,2.3461,1.8333,3.0697,2.6344,1.4937,0.5658,1.8407,0.9265,3.4423,1.9533,1.104,0.1628,0.7961,3.3326,0.5488,1.1058,0.1762
1992-10-01,1.02,2.11,-1.98,2.5,0.3,2.5383,1.8944,2.5688,2.0581,1.4988,4.9675,4.232,2.316,1.1994,3.2857,5.6471,4.0142,1.8302,2.4325,1.4696,4.7768,0.9736,1.1405,2.109,4.747,2.0576,1.4373,-2.5493,0.1828,0.0328
1992-11-01,4.14,3.68,-1.52,-0.25,0.2,10.6494,11.0948,8.2551,8.0868,7.8462,9.2061,8.2522,6.3671,4.7711,7.0207,9.3925,6.5907,6.1603,5.0041,4.126,7.0465,4.8608,4.1267,2.9252,3.8265,3.6768,4.9988,1.0653,2.9428,8.3543
1992-12-01,1.53,1.65,2.64,4.33,0.7,1.63,3.1959,5.0501,4.4694,5.022,1.6088,2.5187,3.2855,6.3621,4.8926,3.7539,4.9656,2.8912,3.7981,5.0137,1.2262,2.671,3.6452,4.1335,4.5833,-0.7044,3.4563,1.0783,3.0,3.0076
1993-01-01,0.93,1.89,5.9,4.85,-0.1,2.8961,5.1035,4.3131,5.6017,7.9548,-0.6437,3.0377,4.4064,4.5692,8.1658,-2.4126,4.2971,3.9783,3.4117,3.6656,1.1725,1.7824,3.0735,2.6367,4.6934,-2.4217,1.1224,0.8972,3.3609,8.9824
1993-02-01,0.12,-3.39,6.48,3.18,0.2,-7.4897,-5.2289,-2.0913,-0.8218,0.7861,-8.1521,-4.3087,-0.579,2.6372,1.6493,-7.8607,0.0149,1.2312,0.6963,3.0075,-5.078,1.4612,1.5923,3.1469,1.8688,-3.0749,2.1066,5.0582,4.6791,2.1197
1993-03-01,2.32,0.29,1.26,3.7,-0.3,1.0175,1.7524,3.151,2.5465,4.9945,0.6452,2.6206,4.193,2.4847,4.0651,4.9378,3.1568,3.2351,3.6273,5.8088,2.5558,5.0139,4.3812,3.6598,1.8443,0.7033,3.5955,2.7976,1.3939,3.503
1993-04-01,-3.05,-0.62,2.55,0.36,0.7,-4.1364,-3.7081,-3.2312,-2.1084,-1.2174,-2.9153,-3.1626,-1.9825,-2.3013,-4.0077,-4.9751,-2.244,-2.5086,-1.7062,-1.7197,-5.0092,-2.4847,-1.9225,-1.7794,-1.4016,-6.003,-2.1786,-0.2769,-1.4901,0.8501
1993-05-01,2.89,2.06,-3.46,0.21,0.3,5.8706,4.4424,3.9022,2.9393,4.5345,6.963,4.3192,3.451,1.9864,4.3785,7.9872,5.8203,3.8702,2.2228,2.2347,6.811,3.8494,2.3395,1.1039,2.9602,3.1481,4.4805,1.6212,1.2471,-0.3731
1993-06-01,0.3,-0.3,2.64,4.57,0.4,-1.4588,-0.2599,0.5189,-0.8256,1.9068,-0.7154,0.7525,0.2805,0.6866,2.3964,-0.6566,0.2527,1.2154,2.6077,0.9614,0.7597,0.6141,1.9582,1.2359,3.8689,-2.4597,1.0699,1.0732,2.7614,4.7147
1993-07-01,-0.34,0.96,2.87,3.22,0.5,-1.5013,-0.3534,1.0043,1.7241,2.8918,0.2393,-0.2404,1.7534,1.8135,2.7439,-0.6897,0.0043,0.8978,2.6182,-0.4783,-3.2526,1.7044,1.1582,2.3379,1.3856,-3.1481,-0.1798,2.0331,1.563,-0.1321
1993-08-01,3.72,0.11,0.18,2.54,0.1,3.69,5.4045,3.5657,4.2158,3.0829,3.3529,6.0206,4.9966,5.1592,3.4092,4.0541,4.9154,3.8229,3.2431,2.3413,6.0174,4.1395,4.5248,3.8232,5.0046,3.5413,2.6308,4.0657,4.1455,4.017
1993-09-01,-0.12,3.09,-0.24,3.39,0.6,2.3166,2.1835,3.2019,2.9272,3.0529,3.6932,3.6296,2.6797,2.2549,2.4328,4.1171,1.0854,1.1661,1.2163,0.3364,0.6374,1.3501,0.8382,-0.9653,-0.8491,-1.3055,-1.6148,0.2194,1.4351,-0.4495
1993-10-01,1.42,1.99,-2.78,-2.67,0.2,5.4357,4.3121,4.7227,4.6769,4.2507,3.9966,2.0403,1.6697,0.8216,0.6391,2.3762,-1.0497,0.2685,-0.1622,3.1162,3.3845,0.6957,0.1949,-0.681,-2.2274,4.719,1.3893,-0.744,-0.4909,-0.4869
1993-11-01,-1.87,-1.27,-0.78,-4.77,0.3,-3.9975,-3.0763,-1.8477,-2.1243,-1.7173,-3.2105,-2.3387,-2.3673,-4.1451,-4.3574,-2.5438,-1.9417,-3.1973,-3.5452,-0.4362,-2.3487,-2.4718,-2.248,-2.5811,-4.987,1.8852,-1.9822,-2.1602,-3.9287,0.707
1993-12-01,1.65,1.19,0.25,2.33,0.4,0.818,0.3909,1.9232,1.2319,1.0429,2.2317,4.4544,4.538,1.8034,3.8085,3.7118,6.2907,5.2086,5.0855,2.2353,4.2124,6.394,4.0523,2.8444,2.6347,0.2342,2.2266,0.8351,1.2346,1.7944
1994-01-01,2.87,0.33,1.1,0.11,0.3,2.607,6.3154,5.5552,4.7982,5.8043,1.3069,1.8425,2.1841,2.6419,4.9746,1.7448,2.1527,1.3877,3.2224,6.1967,2.4014,3.2401,5.1023,3.1792,2.0139,1.6584,4.7973,4.1719,2.9785,2.7417
1994-02-01,-2.55,2.76,-1.52,-0.34,0.8,-3.018,0.7361,0.5191,0.0405,-0.1318,-0.6764,0.5305,-0.0126,-1.9337,-1.177,-0.6454,1.5471,0.6305,-1.2379,-1.2079,-1.4497,0.3034,-1.1945,-2.5922,-4.9971,-1.8142,-2.0506,-3.46,-5.3522,-4.9714
1994-03-01,-4.79,-1.08,1.67,-1.32,0.0,-7.8223,-5.0397,-4.8156,-4.4727,-2.8962,-6.9881,-5.5084,-5.2712,-4.1516,-5.2543,-5.7541,-4.8236,-4.4077,-4.2602,-5.0328,-6.0571,-5.0019,-5.0069,-2.9652,-0.892,-4.8018,-3.9477,-3.2658,-4.1055,-3.9693
1994-04-01,0.68,-0.93,1.66,0.33,0.4,-3.94,-0.0468,-1.4881,-1.0298,0.6945,-1.2484,0.8723,1.3669,1.9439,1.999,-1.256,2.0202,1.0288,0.7568,1.1053,-0.2404,0.6469,0.9734,1.7894,1.9827,1.2047,0.2474,2.1911,1.634,2.1477
1994-05-01,0.58,-2.09,0.6,-2.05,-0.2,-2.6765,-2.1146,-1.2904,0.0672,-0.3854,-2.2296,-2.4493,-1.0869,-0.3918,1.3874,-2.1408,-1.2966,0.5874,-0.8161,0.2875,-0.3433,-0.484,1.2881,-1.0884,-2.0707,1.0712,2.7206,2.7188,0.0321,3.4329
1994-06-01,-3.04,-0.43,1.77,-0.9,0.6,-6.4925,-4.6988,-4.4526,-2.1829,-2.0227,-5.9041,-3.301,-0.2964,-1.8745,-0.7989,-4.1696,-3.0334,0.293,-1.6271,-1.8119,-4.9857,-1.8355,-3.3433,-1.9067,-3.309,-2.8656,-2.646,-2.1865,-1.3329,-3.745
1994-07-01,2.82,-1.81,0.61,0.11,-0.1,0.1886,0.1976,-0.7816,0.9688,1.1544,2.2703,2.1695,1.836,2.5888,2.3234,3.2613,1.766,0.7727,3.7644,3.5881,2.3857,3.9097,3.2214,4.9195,3.9122,3.0956,2.9083,4.3448,3.8701,1.4054
1994-08-01,4.02,1.5,-2.55,1.54,0.7,3.8151,4.1132,5.1216,2.5715,2.8197,9.7018,6.117,4.1083,4.247,4.6721,9.724,5.0644,4.4459,2.7935,5.2206,7.8567,4.8163,2.9864,3.1779,4.4922,5.2737,3.4613,1.8741,3.8469,3.3881
1994-09-01,-2.28,3.04,-1.81,1.32,0.1,0.9049,1.9547,0.7736,2.7458,0.8228,0.1258,0.8275,-1.361,0.9622,-1.4799,0.6511,-1.3503,-1.9842,-1.6756,-1.0856,-0.7909,-1.8783,-2.7472,-3.3104,-2.5419,-1.2027,-3.475,-2.3454,-4.0922,-6.2262
1994-10-01,1.35,-2.16,-1.66,1.31,0.6,-0.7415,0.9649,-0.229,1.2103,0.2307,1.876,-0.0061,-0.2938,-0.4526,-3.8106,3.4383,-0.7247,-0.0341,-0.6216,-2.6596,0.5655,1.3723,1.041,-0.7358,-1.9807,2.3942,2.3585,3.3545,1.7499,2.5049
1994-11-01,-4.03,0.28,-0.73,-0.12,0.1,-4.4831,-3.2212,-2.7394,-3.1991,-3.1054,-3.0003,-3.7119,-3.8838,-3.8378,-4.9873,-5.427,-4.3481,-4.5543,-2.9053,-5.0912,-4.0557,-3.7161,-4.0225,-3.9729,-5.4087,-2.0818,-5.176,-2.7346,-5.0928,-2.7375
1994-12-01,0.86,0.17,-0.09,3.45,0.3,-2.7502,-0.8949,-0.2672,0.0808,-0.1363,1.6996,2.0336,2.5898,2.5628,1.055,1.7545,3.1198,2.0369,2.5405,4.5287,2.0471,1.1875,0.0008,0.9441,1.1911,1.6066,1.0769,1.1418,1.1139,0.1702
1995-01-01,1.8,-3.51,2.59,-1.84,0.0,1.1066,2.3207,3.1918,2.2938,2.2048,-1.9907,-0.9191,-0.0897,-0.4292,0.2609,-1.3823,-2.3879,-0.5406,-0.0285,0.5912,-0.1406,1.2516,0.9635,3.9371,4.6626,2.7691,1.6709,3.5451,4.3476,6.4907
1995-02-01,3.63,-0.61,0.99,-0.47,-0.2,2.4426,3.8224,1.9633,2.2163,3.2976,3.4811,4.5122,3.4208,2.8009,5.9165,5.4058,5.6934,4.1939,4.8395,5.2637,4.3862,4.7534,5.0538,4.0774,4.8349,3.5546,4.6831,2.9146,3.6047,7.5757
1995-03-01,2.19,-0.2,-2.13,0.45,0.5,0.7663,1.5807,1.2794,1.0865,0.8022,4.5577,1.1513,2.7385,1.9727,1.9184,3.6868,2.2508,1.768,0.2144,1.0854,3.1749,3.4356,2.6236,1.44,0.6306,2.7306,3.9251,3.5669,0.4744,1.1671
1995-04-01,2.11,-0.51,1.67,1.8,-0.2,1.5341,2.902,3.3299,2.242,3.9593,0.028,1.5667,3.482,2.0994,3.5311,-0.1142,1.6927,1.9755,3.6249,2.0355,0.3855,2.1425,3.6995,1.0515,3.7429,2.7238,3.3025,2.6925,2.3646,5.9711
1995-05-01,2.9,-2.53,2.28,-0.55,0.7,1.5282,2.1927,1.8735,1.3174,3.178,1.1852,1.2379,1.6527,2.7263,2.5762,2.0959,-0.6547,1.8199,3.0288,2.9881,1.9239,1.5788,2.3845,3.4552,5.0637,3.8495,2.9118,4.3852,6.298,6.1654
1995-06-01,2.72,3.17,-2.54,3.01,0.8,7.9438,6.848,7.0659,5.0279,5.2106,9.8801,4.3654,4.5974,4.0402,4.7797,6.5418,3.1684,3.0868,3.1611,2.1738,6.652,3.2704,2.6504,2.5183,2.813,3.3656,2.611,0.1066,1.5432,1.5827
1995-07-01,3.71,2.09,-1.58,2.6,-0.3,7.3039,6.8396,5.1186,4.9206,4.9766,9.1515,6.5003,3.9287,5.1152,5.0085,8.1297,4.902,4.5039,3.7661,4.4946,8.0306,4.5953,3.9598,4.3292,3.6226,2.9956,3.927,4.0559,2.7344,3.4017
1995-08-01,0.55,1.31,2.68,0.05,0.5,4.1365,4.7315,4.316,3.7293,4.1467,0.7324,1.8049,0.7284,3.5914,3.4319,0.5037,2.1315,1.0503,4.2464,3.0852,0.1026,0.8228,2.5051,2.2636,4.4378,0.0734,0.3728,0.1906,2.7056,4.3724
1995-09-01,3.36,-2.16,-0.11,2.86,0.2,3.4452,2.8168,2.032,1.8791,2.4809,2.2334,1.3852,1.9855,2.9535,0.5578,2.1605,1.109,1.5493,1.973,1.0291,3.5126,2.0675,1.3504,2.0219,3.483,5.5287,2.5077,3.527,4.7456,7.1058
1995-10-01,-1.51,-3.8,-0.49,4.17,-0.4,-6.331,-5.7492,-4.8701,-3.6498,-2.7689,-6.9038,-6.7688,-5.4622,-4.9389,-5.0729,-2.7349,-3.8311,-2.64,-3.1487,-2.7795,-1.8081,-4.318,-2.2673,-0.8721,-1.1196,0.3605,0.7558,0.7892,-3.1983,-3.3851
1995-11-01,3.96,-1.12,0.52,-0.72,0.8,2.1326,2.4955,0.7402,2.3183,1.5341,4.9358,4.9635,3.8818,4.626,5.9429,6.3371,3.5027,3.8072,4.778,5.1378,4.306,4.9393,3.9843,4.7279,4.6705,4.8716,2.0393,4.8947,4.9509,5.3539
1995-12-01,1.04,0.66,0.24,2.48,0.6,2.4222,2.9216,1.7045,1.3309,1.4631,2.8807,2.2128,3.4155,3.2689,3.3367,1.2257,1.8338,2.8956,3.2865,1.4297,-1.4858,0.642,1.2253,0.2472,0.4044,1.1885,0.9499,3.8817,0.9966,1.4852
1996-01-01,2.26,-2.83,0.46,0.57,-0.5,1.5372,0.4245,1.3865,1.4805,0.8087,-0.1563,-1.2629,0.6593,-0.862,0.3891,-1.6753,0.3971,-0.1328,1.0032,0.8012,1.63,2.1328,1.6493,2.1008,1.2085,3.9699,2.5867,3.3743,2.9295,4.3258
1996-02-01,1.33,1.79,-1.05,0.57,0.8,3.884,1.0917,3.8552,1.8964,3.4915,5.432,5.7169,2.072,1.9514,1.3205,4.6929,4.0005,2.1663,2.5577,1.6162,5.4292,1.0876,0.4878,1.6553,-0.8796,0.5819,3.0463,1.4961,0.6027,2.9718
1996-03-01,0.74,1.43,0.42,-1.85,0.5,2.7839,3.7828,3.1612,4.0984,1.9836,1.9559,3.2139,0.9729,1.8474,3.9309,2.9344,1.0438,3.3547,3.2145,1.9585,1.2142,0.8591,3.0354,0.7508,2.1938,-0.056,2.1681,0.9239,1.7778,1.3612
1996-04-01,2.06,5.2,-3.97,-0.94,0.4,8.4767,9.7516,8.582,6.0244,5.6875,10.1676,9.132,2.5194,4.2759,6.4714,5.7558,4.6473,1.9961,1.2811,1.5941,6.3757,4.1554,3.8187,-0.2391,-1.8678,1.2794,3.2201,1.2419,-0.4336,-1.4111
1996-05-01,2.36,3.2,-0.9,1.62,0.1,8.5706,6.733,7.8494,6.3869,5.756,6.0885,4.4222,4.2858,4.8327,7.5531,2.7932,3.798,2.0889,1.3399,1.16,2.8479,0.367,0.4325,1.2663,1.6087,3.8805,1.3666,0.6942,2.9746,2.2019
1996-06-01,-1.13,-4.0,2.33,1.02,0.1,-7.7182,-5.6378,-5.1479,-2.5406,-2.8788,-6.8762,-3.7919,-2.5147,-0.8418,-5.525,-7.3219,-2.7506,-1.0405,-0.4011,0.1441,-4.3311,-1.62,-1.0941,0.3979,2.1837,1.4484,-0.9236,0.151,-0.8803,0.7029
1996-07-01,-5.96,-4.3,5.19,-0.15,0.2,-15.0268,-9.5945,-8.7007,-4.4839,-5.5244,-15.0373,-9.9011,-7.9752,-5.5876,-5.2929,-11.5166,-7.6491,-6.1167,-4.9005,-6.2475,-8.9282,-5.3981,-4.8763,-4.136,-4.693,-5.0134,-4.7917,-2.8778,-3.3778,-4.6591
1996-08-01,2.77,2.45,-0.82,-0.02,0.3,4.6142,5.1199,4.2664,3.8688,3.8458,7.8202,5.8252,4.1503,4.6538,4.7894,8.1959,5.745,6.1643,6.5235,4.5265,5.5745,5.2136,5.9182,4.921,4.0874,1.2676,3.0132,4.0983,2.1366,2.9697
1996-09-01,5.01,-1.02,-2.74,2.67,0.1,2.357,3.9618,1.6003,3.4826,2.6321,5.9541,2.9557,2.1465,3.8281,3.9749,8.0249,4.0824,3.2526,3.261,1.6496,5.6734,5.3899,2.5427,4.2309,3.47,7.2707,4.4769,3.6416,3.4251,4.9684
1996-10-01,0.87,-4.39,4.88,3.72,0.3,-5.6168,-2.7036,-1.4503,1.1103,0.9281,-5.3953,-1.4541,0.1544,1.9823,1.1143,-6.5755,-2.4682,0.2317,1.1203,1.5057,-3.9237,0.8279,2.2644,2.9812,3.3906,1.6608,1.1424,5.6155,5.5768,4.6019
1996-11-01,6.25,-4.04,1.4,-2.35,0.2,-0.5979,1.8958,3.2591,4.2677,4.2846,1.1139,3.8452,4.4282,4.518,3.8162,1.534,5.8615,6.2766,7.0593,3.9764,5.4239,5.4299,5.6379,6.7179,8.2978,7.4883,7.2096,8.2519,8.6856,6.6994
1996-12-01,-1.7,3.12,1.28,0.53,0.4,-0.2233,0.5883,2.4377,2.4391,1.7083,1.7008,2.0787,3.2079,3.2868,2.0619,-0.3039,0.641,1.7918,0.8803,2.1837,-2.0728,0.4265,-0.5627,-0.0103,1.9939,-2.0095,-0.4781,-2.5623,-2.6242,-1.2617
1997-01-01,4.96,-1.93,-1.44,1.87,0.5,6.3435,4.6521,6.7731,4.8322,4.0728,4.0518,2.7263,1.9268,0.923,1.7805,0.2157,3.9509,0.6116,2.9493,4.753,2.1594,3.6778,4.3217,1.9251,5.0162,7.6782,5.0839,4.9721,5.3784,4.0137
1997-02-01,-0.48,-3.16,5.61,-2.18,0.2,-5.9053,-5.2302,-2.4687,0.7713,0.6873,-8.9478,-2.8415,-0.6668,0.612,2.658,-6.3634,-1.7301,0.4085,1.5337,2.0282,-3.7422,1.1339,0.078,2.4983,3.7466,0.8133,-1.5718,-0.066,3.0265,4.9558
