Underlying,SnapshotDate,ExpirationDate,Maturity,StockPrice,RiskFree,DividendYield,Strike,Type,Bid,Ask,MidPrice,Volume,OpenInterest
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,240.0,Put,0.16,0.22,0.19,9,92
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,270.0,Put,0.26,0.33,0.295,11,115
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,565.0,Call,1.04,1.08,1.06,11,14
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,640.0,Call,0.38,0.42,0.4,15,129
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,230.0,Put,0.14,0.19,0.165,18,73
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,325.0,Put,0.79,0.82,0.805,19,392
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,290.0,Put,0.38,0.42,0.4,21,122
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,570.0,Call,0.96,1.0,0.98,23,54
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,525.0,Call,2.0,2.06,2.03,30,157
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,295.0,Put,0.41,0.46,0.435,35,378
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,315.0,Put,0.62,0.67,0.645,41,362
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,320.0,Put,0.7,0.74,0.72,47,622
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,520.0,Call,2.22,2.27,2.245,62,18
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,495.0,Call,3.8,3.95,3.875,69,261
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,560.0,Call,1.11,1.16,1.135,88,112
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,485.0,Call,4.9,5.0,4.95,100,272
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,510.0,Call,2.74,2.81,2.775,106,113
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,540.0,Call,1.53,1.58,1.555,112,230
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,600.0,Call,0.64,0.67,0.655,115,164
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,405.0,Put,10.25,10.4,10.325,124,182
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,490.0,Call,4.3,4.4,4.35,147,368
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,395.0,Put,7.4,7.55,7.475,162,380
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,475.0,Call,6.25,6.4,6.325,170,353
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,330.0,Put,0.89,0.93,0.91,172,520
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,410.0,Put,12.0,12.15,12.075,208,198
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,300.0,Put,0.46,0.5,0.48,215,411
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,340.0,Put,1.17,1.22,1.195,215,587
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,310.0,Put,0.58,0.6,0.59,221,619
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,220.0,Put,0.12,0.18,0.15,230,602
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,445.0,Call,13.4,13.55,13.475,234,414
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,470.0,Call,7.1,7.2,7.15,239,503
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,480.0,Call,5.55,5.65,5.6,240,770
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,530.0,Call,1.82,1.87,1.845,248,113
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,335.0,Put,1.01,1.06,1.035,257,410
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,385.0,Put,5.2,5.35,5.275,257,816
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,415.0,Put,13.95,14.1,14.025,272,78
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,345.0,Put,1.34,1.4,1.37,278,485
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,390.0,Put,6.25,6.4,6.325,283,675
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,465.0,Call,8.1,8.25,8.175,291,291
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,550.0,Call,1.3,1.34,1.32,294,101
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,365.0,Put,2.6,2.67,2.635,341,928
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,360.0,Put,2.19,2.26,2.225,348,900
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,275.0,Put,0.3,0.34,0.32,352,53
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,355.0,Put,1.86,1.92,1.89,355,424
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,375.0,Put,3.7,3.8,3.75,409,849
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,380.0,Put,4.4,4.5,4.45,431,889
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,505.0,Call,3.05,3.1,3.075,439,143
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,350.0,Put,1.58,1.62,1.6,465,889
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,455.0,Call,10.4,10.55,10.475,468,272
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,370.0,Put,3.1,3.2,3.15,493,900
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,425.0,Put,18.4,18.6,18.5,526,50
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,400.0,Put,8.75,8.9,8.825,562,452
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,420.0,Put,16.15,16.3,16.225,577,62
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,440.0,Call,15.25,15.45,15.35,612,4276
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,515.0,Call,2.46,2.52,2.49,670,49
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,460.0,Call,9.15,9.3,9.225,884,875
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,500.0,Call,3.4,3.5,3.45,915,736
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,435.0,Call,17.15,17.5,17.325,1085,675
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,430.0,Call,19.25,19.6,19.425,1307,738
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,450.0,Call,11.95,12.0,11.975,1535,3330
